*ZIP,LAT,LNG
60002,42.471741,-88.084493
60004,42.112780,-87.979542
60005,42.064490,-87.985462
60007,42.008600,-87.997340
60008,42.069786,-88.016221
60010,42.146494,-88.164651
60012,42.272492,-88.314084
60013,42.223439,-88.235506
60014,42.232414,-88.327449
60015,42.173809,-87.878173
60016,42.049573,-87.895003
60018,41.979388,-87.894358
60020,42.389054,-88.173346
60021,42.194697,-88.217108
60022,42.135423,-87.761882
60025,42.075201,-87.821026
60026,42.092234,-87.837445
60029,42.059253,-87.778339
60030,42.337078,-88.044326
60031,42.373574,-87.939353
60033,42.424786,-88.608011
60034,42.456318,-88.419695
60035,42.185968,-87.805939
60040,42.206363,-87.813098
60041,42.364552,-88.151120
60042,42.278206,-88.196627
60043,42.088859,-87.714588
60044,42.284408,-87.862297
60045,42.235997,-87.864777
60046,42.416323,-88.059119
60047,42.203134,-88.044208
60048,42.295408,-87.950611
60050,42.331147,-88.295180
60051,42.354910,-88.229132
60053,42.042336,-87.788946
60056,42.067166,-87.934719
60060,42.270103,-88.039292
60061,42.234909,-87.959135
60062,42.126279,-87.845088
60064,42.324027,-87.856704
60067,42.106323,-88.064337
60068,42.011762,-87.843434
60069,42.196594,-87.924704
60070,42.103663,-87.928972
60071,42.468405,-88.315683
60072,42.406704,-88.305861
60073,42.348824,-88.109581
60074,42.131462,-88.026329
60076,42.035260,-87.729928
60077,42.034746,-87.757188
60081,42.451014,-88.225410
60083,42.436276,-87.941752
60084,42.269669,-88.140911
60085,42.352097,-87.867656
60087,42.403085,-87.850836
60088,42.309632,-87.844061
60089,42.167231,-87.964063
60090,42.129614,-87.921503
60091,42.077788,-87.720570
60093,42.106708,-87.756292
60096,42.479722,-87.824805
60097,42.396983,-88.369978
60098,42.326265,-88.456087
60099,42.459988,-87.865021
60101,41.930516,-88.016937
60102,42.165165,-88.308768
60103,41.980546,-88.204761
60104,41.882844,-87.876430
60106,41.959701,-87.941835
60107,42.020586,-88.177771
60108,41.950022,-88.091865
60109,42.049807,-88.545918
60110,42.114687,-88.291866
60111,42.009497,-88.805358
60112,41.924797,-88.690186
60113,41.932247,-88.965872
60115,41.901277,-88.761435
60118,42.106259,-88.304383
60119,41.851532,-88.476450
60120,42.034492,-88.238396
60123,42.040644,-88.311296
60124,42.020169,-88.400686
60126,41.896843,-87.941240
60129,42.008121,-88.974996
60130,41.866433,-87.817396
60131,41.938755,-87.884263
60133,41.977842,-88.143199
60134,41.878343,-88.342066
60135,42.112495,-88.670862
60136,42.105438,-88.380571
60137,41.865213,-88.061479
60139,41.918877,-88.078095
60140,42.079040,-88.513208
60141,41.857845,-87.838010
60142,42.173954,-88.444595
60143,41.975335,-88.022464
